article_id,ngay_dang_tin,nguon,tieu_de,tinh_trang
742,21/05/2025,Sở Giao dịch Chứng khoán Hà Nội,Công ty cổ phần Chứng khoán VPBanks báo cáo vi phạm chéo của Tổ chức phát hành trái phiếu HQNCH2124007,Hiệu lực
741,19/05/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Phần mềm diệt Virus Bkav.,Hiệu lực
722,16/05/2025,Sở Giao dịch Chứng khoán Hà Nội,Sở GDCK Hà Nội đăng tải CV 6124/BTC-ĐCTC ngày 08.05.2025 của Bộ Tài Chính về việc thực hiện việc báo cáo theo công văn số 13527/BTC-TCNH ngày 15.12.2022,Hiệu lực
701,12/05/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Phần mềm diệt Virus Bkav.,Hiệu lực
682,07/05/2025,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 04/2025,Hiệu lực
681,07/05/2025,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 04/2025,Hết hiệu lực
666,29/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán Tân Việt với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Đầu tư Năng lượng Nam Phương liên quan đến trái phiếu NPECH2229001,Hiệu lực
665,29/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán Tân Việt với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Đầu tư Năng lượng Nam Phương liên quan đến trái phiếu NPECH2128002,Hiệu lực
664,29/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán Tân Việt với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Đầu tư Năng lượng Nam Phương liên quan đến trái phiếu NPECH2126001,Hiệu lực
641,28/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Phần mềm diệt Virus Bkav,Hiệu lực
642,28/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Crystal Bay,Hiệu lực
624,24/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu BCLCH2124001,Hiệu lực
621,24/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu HISCH2124001,Hiệu lực
623,24/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu GKCCH2124001 và GKCCH2124002,Hiệu lực
601,16/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Phần mềm diệt Virus Bkav,Hiệu lực
581,14/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của CTCP Chứng khoán VPBank về hành vi vi phạm của tổ chức phát hành liên quan đến mã trái phiếu TTCCH2428001 và TTCCH2428002,Hiệu lực
561,10/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán BIDV v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu NVLH2124002,Hiệu lực
545,10/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu PKDSGH2023001,Hiệu lực
543,10/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu HISCH2124001,Hiệu lực
546,10/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Phần mềm diệt Virus Bkav,Hiệu lực
542,10/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu BCLCH2124001,Hiệu lực
544,10/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty Cổ phần Chứng khoán Tiên Phong v/v vi phạm của doanh nghiệp phát hành ảnh hưởng đến quyền lợi của nhà đầu tư của mã trái phiếu TCDH2227002,Hiệu lực
541,08/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Bản tin thị trường trái phiếu doanh nghiệp riêng lẻ tháng 03/2025,Hiệu lực
522,02/04/2025,Sở Giao dịch Chứng khoán Hà Nội,Báo cáo của Công ty cổ phần Chứng khoán VNDIRECT với tư cách là Tổ chức Đại diện Người sở hữu trái phiếu về việc vi phạm của Công ty cổ phần Phần mềm diệt Virus Bkav,Hiệu lực
