article_id,ngay_dang_tin,ten_dn,ma_tp,tieu_de,ghi_chu,tinh_trang,loai_su_kien
15817,11/01/2024,Công ty cổ phần Kinh doanh và Đầu tư Bình Dương,"ITCH1924001,BITCH2123002,BITCH2123001",Quyết định số 275/QĐ-XPHC ngày 28/8/2023 về việc Xử phạt vi phạm hành chính,,Hiệu lực,xu_phat
15726,11/01/2024,Công ty Cổ phần BVB,BVBCH2123001,BVB Công bố thông tin về Nghị Quyết 2387/2023/NQ/ĐDNSHTP-BVB ngày 29/12/2023,,Hiệu lực,
15701,08/01/2024,Công ty cổ phần đầu tư bệnh viện Việt Mỹ,BVVM.BOND.2021,THÔNG BÁO THAY ĐỔI THÔNG TIN DOANH NGHIỆP ĐĂNG KÝ TRÁI PHIẾU DOANH NGHIỆP RIÊNG LẺ,,Hiệu lực,
15675,08/01/2024,Công ty cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,PSHH2224003,Báo cáo tình hình thanh toán lãi trái phiếu PSHH2224003 tuần từ 28/12/2023 đến 03/01/2024,,Hiệu lực,
15673,08/01/2024,Công ty cổ phần điện gió Phong Liệu,PLWCH2135001,Công ty CP Điện gió Phong Liệu: Công bố việc hoàn thành thay đổi kỳ hạn mã trái phiếu PLWCH2135001,,Hiệu lực,
15662,08/01/2024,Công ty CP Khu Công nghiệp Kỹ Thuật Cao An Phát 1,AP1CH2126001,Thông báo về ngày đăng ký cuối cùng để thực hiện quyền nhận lãi trái phiếu doanh nghiệp,,Hiệu lực,
15487,08/01/2024,Công ty CP Khu Công nghiệp Kỹ Thuật Cao An Phát 1,AP1CH2126001,"NGHỊ QUYẾT   V/v: điều chỉnh một số điều kiện, điều khoản trái phiếu và thông qua thời gian, địa điểm, tài liệu họp Hội nghị người sở hữu trái phiếu AP132101 (AP1CH2126001)",,Hiệu lực,xin_y_kien
15631,02/01/2024,Công ty cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,PSHH2224003,Báo cáo tình hình thanh toán lãi trái phiếu tuần từ 21-12-2023 đến 27-12-2023,,Hiệu lực,
15489,29/12/2023,Công ty cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,PSHH2224003,"Báo cáo tình hình thanh toán gốc, lãi trái phiếu tuần từ ngày 14/12/2023 đến ngày 20/12/2023",,Hiệu lực,
15515,29/12/2023,CÔNG TY CỔ PHẦN ĐIỆN MẶT TRỜI VKT - HÒA AN,VKTCH2132001,Công bố thông tin về việc thực hiện quyền Thanh toán lãi Kỳ 12 (từ và bao gồm ngày 09/10/2023 đến và không bao gồm ngày 09/01/2024) cho Trái phiếu VKTCH2132001,,Hiệu lực,
15534,22/12/2023,CTCP Điện gió Bắc Phương,BPGCH2135001,Đính chính báo cáo kết quả phát hành,,Hiệu lực,
15412,14/12/2023,Công ty cổ phần điện gió Phong Liệu,PLWCH2135001,Công ty CP Điện gió Phong Liệu: Công bố việc hoàn thành thay đổi kỳ hạn mã trái phiếu PLWCH2135001,,Hết hiệu lực,
14956,08/11/2023,Công ty Cổ phần CMC,"CVTB2126004,CVTB2122001,CVTB2123002,CVTB2125003",Công ty Cổ phần CMC bổ sung thông tin công bố thông tin về kết quả chào bán trái phiếu riêng lẻ,,Hiệu lực,
14807,26/10/2023,CTCP TỔNG HỢP THẾ GIỚI XANH,,Báo cáo tình hình thực hiện mua lại đối với người sở hữu trái phiếu,,Hiệu lực,mua_lai
14643,12/10/2023,CTCP TẬP ĐOÀN AN PHÁT HOLDINGS,APHH2124001,Thông báo về việc điều chỉnh lãi suất trái phiếu APH-H2124-001,,Hiệu lực,
14367,27/09/2023,Công ty Cổ phần Đầu Tư và Xây Dựng Bình Dương ACC,ACCH2123001,Nghị quyết người sở hữu trái phiếu về việc điều chỉnh kỳ hạn trái phiếu tối đa tới ngày 25/09/2023,,Hiệu lực,
13350,31/08/2023,CTCP KẾT CẤU THÉP ATAD ĐỒNG NAI,ATDCL1925001,CBTT kết quả mua lại trái phiếu trước hạn - mã trái phiếu: ATDCL1925001,,Hiệu lực,mua_lai
12807,28/08/2023,CTCP KẾT CẤU THÉP ATAD ĐỒNG NAI,ATDCL1925001,CBTT kết quả mua lại trái phiếu trước hạn - mã trái phiếu: ATDCL1925001,,Hiệu lực,mua_lai
12368,10/08/2023,Công ty Cổ phần Thương mại - Vinh Plaza,VPZCH2124002,UBCKNN thông báo xử phạt vi phạm hành chính đối với CTCP thương mại - Vinh Plaza,,Hiệu lực,xu_phat
12272,08/08/2023,Công ty cổ phần Lâu Đài Trắng,LDTCH2123001,"CBTT Tổ chức phát hành đã hoàn tất thanh toán gốc, lãi để tất toán lô Trái phiếu mã LDTCH2123001",,Hiệu lực,tat_toan
