article_id,ngay_dang_tin,ten_dn,ma_tp,tieu_de,ghi_chu,tinh_trang,file_id,loai_su_kien
22634,06/12/2024,CTCP Hưng Thịnh Land,H79CH2123021,CTCP Hưng Thịnh Land CBTT bất thường - về việc: Thanh toán gốc trái phiếu H79CH2123021,,Hiệu lực,22634.0,
22611,06/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.14,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc:  Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22611.0,gia_han
22610,06/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.13,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22610.0,gia_han
22609,06/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.12,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22609.0,gia_han
22608,06/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.11,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22608.0,gia_han
22607,06/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.10,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc:  Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22607.0,gia_han
22606,06/12/2024,Công ty Cổ phần đầu tư và cho thuê tài sản TNL,TNL.BOND.11.2019.09,Công ty Cổ phần đầu tư và cho thuê tài sản TNL CBTT bất thường - về việc: Nghị quyết Người sở hữu trái phiếu về việc kéo dài kỳ hạn trái phiếu,,Hiệu lực,22606.0,gia_han
22587,03/12/2024,CTCP ĐẦU TƯ VÀ XÂY DỰNG SUNRISE VIỆT NAM,SRSCH2124002,"CTCP ĐẦU TƯ VÀ XÂY DỰNG SUNRISE VIỆT NAM CBTT bất thường - về việc: thanh toán gốc, lãi trái phiếu bằng tài sản khác - Mã SRSCH2124002",,Hiệu lực,22587.0,
22570,02/12/2024,CTCP DỊCH VỤ THƯƠNG MẠI VÀ ĐẦU TƯ HORIZON,HRZCH2024002,"CTCP DỊCH VỤ THƯƠNG MẠI VÀ ĐẦU TƯ HORIZON CBTT bất thường - về việc: Công bố thông tin bất thường v/v chậm thanh toán gốc, lãi trái phiếu HORIZON2020-02",,Hiệu lực,22570.0,cham_tra
22526,02/12/2024,CÔNG TY TNHH NAM RẠCH CHIẾC,"NRCCH2226001,NRCCH2125001","CÔNG TY TNHH NAM RẠCH CHIẾC CBTT bất thường - về việc: thay đổi điều khoản, điều kiện trái phiếu",,Hiệu lực,22526.0,
22565,02/12/2024,CTCP ĐẦU TƯ & XÂY DỰNG KIÊN TRUNG,DLACH2124001,"CTCP ĐẦU TƯ & XÂY DỰNG KIÊN TRUNG CBTT bất thường - về việc:chậm thanh toán gốc lãi trái phiếu, mã TP: DLACH2124001",,Hiệu lực,22565.0,cham_tra
22580,02/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-009,"CTCP Hưng Thịnh Land CBTT bất thường - về việc: chậm thanh toán gốc, lãi trái phiếu HTL-H2023-009",,Hiệu lực,22580.0,cham_tra
22579,02/12/2024,CTCP Hưng Thịnh Land,HTL-H2023-008,"CTCP Hưng Thịnh Land CBTT bất thường - về việc: chậm thanh toán gốc, lãi trái phiếu HTL-H2023-008",,Hiệu lực,22579.0,cham_tra
