code,name,shortName,organCode,floor,comTypeCode,isBank,icb1_code,icb1_name,icb2_code,icb2_name,icb3_code,icb3_name,icb4_code,icb4_name
SSU,Công ty Cổ phần Môi trường Đô thị Sóc Sơn,Môi trường Đô thị Sóc Sơn,SSU,OTC,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2790,Tư vấn & Hỗ trợ Kinh doanh,2799,Chất thải & Môi trường
VPR,Công ty Cổ phần VINAPRINT,VINAPRINT,VPR,UPCOM,CT,False,5000,Dịch vụ Tiêu dùng,5500,Truyền thông,5550,Truyền thông,5557,"Sách, ấn bản & sản phẩm văn hóa"
NS3,Công ty Cổ phần Sản xuất Kinh doanh Nước sạch số 3 Hà Nội,Nước sạch số 3 Hà Nội,NS3,OTC,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
HKT,Công ty Cổ phần QP Holdings,QP Holdings,HKT,HNX,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3537,Đồ uống & giải khát
MLS,Công ty Cổ phần Chăn nuôi - Mitraco,Chăn nuôi Mitraco,MITRACO,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3570,Sản xuất thực phẩm,3573,Nuôi trồng nông & hải sản
SB1,Công ty Cổ phần Bia Sài Gòn - Nghệ Tĩnh,Bia Sài Gòn - Nghệ Tĩnh,VIDA,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3533,Sản xuất bia
C12,Công ty Cổ phần Cầu 12,Cầu 12,CIENCO1,OTC,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
QNW,Công ty Cổ phần Cấp thoát nước và xây dựng Quảng Ngãi,Cấp thoát nước và XD Quảng Ngãi,QNWASC,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
GCB,Công ty Cổ phần PETEC Bình Định,PETEC Bình Định,PTBD,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7573,Phân phối xăng dầu & khí đốt
TB8,Công ty Cổ phần Sản xuất và Kinh doanh Vật tư Thiết bị - VVMI,SX và KD Vật tư Thiết bị - VVMI,TB8,OTC,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2720,Hàng công nghiệp,2723,Containers & Đóng gói
MCT,Công ty Cổ phần Kinh doanh Vật tư và Xây dựng,Kinh doanh vật tư và XD,CMCJSC,OTC,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2353,Vật liệu xây dựng & Nội thất
L12,Công ty Cổ phần Licogi 12,LICOGI 12,LICOGI12,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
CCV,Công ty Cổ phần Tư vấn Xây dựng Công nghiệp và Đô thị Việt Nam,XD CN và đô thị Việt Nam,VCCEC,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2357,Xây dựng
BTB,Công ty Cổ phần Bia Hà Nội - Thái Bình,Bia Hà Nội - Thái Bình,THBECO,UPCOM,CT,False,3000,Hàng Tiêu dùng,3500,Thực phẩm và đồ uống,3530,Bia và đồ uống,3533,Sản xuất bia
X77,Công ty Cổ phần Thành An 77,Thành An 77,X77,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2353,Vật liệu xây dựng & Nội thất
CMD,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP. Hồ Chí Minh,VLXD và Nội thất TP.HCM,CMID,UPCOM,CT,False,2000,Công nghiệp,2300,Xây dựng và Vật liệu,2350,Xây dựng và Vật liệu,2353,Vật liệu xây dựng & Nội thất
PND,Công ty Cổ phần Xăng dầu Dầu khí Nam Định,Xăng dầu Dầu khí Nam Định,PND,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7573,Phân phối xăng dầu & khí đốt
KHW,Công ty Cổ phần Cấp thoát nước Khánh Hòa,Cấp thoát nước Khánh Hòa,KHAWASSCO,UPCOM,CT,False,7000,Tiện ích Cộng đồng,7500,"Điện, nước & xăng dầu khí đốt",7570,Nước & Khí đốt,7577,Nước
HHR,Công ty Cổ phần Đường sắt Hà Hải,Đường sắt Hà Hải,HHRAIL,OTC,CT,False,2000,Công nghiệp,2700,Hàng & Dịch vụ Công nghiệp,2770,Vận tải,2775,Đường sắt
